batch loss acc
0 0.6974 43.75
10 0.6918 43.75
20 0.6531 71.88
30 0.6778 59.38
40 0.4653 71.88
50 0.5219 87.50
60 0.4231 93.75
70 0.1457 96.88
80 0.4462 71.88
90 0.1002 96.88
100 0.0897 100.00
110 0.0397 100.00
120 0.0259 100.00
130 0.0574 100.00
140 0.0355 100.00
150 0.0597 93.75
160 0.0801 96.88
170 0.0091 100.00
180 0.0067 100.00
190 0.0414 96.88
200 0.0026 100.00
210 0.0030 100.00
220 0.0074 100.00
230 0.0042 100.00
240 0.0007 100.00
250 0.0008 100.00
260 0.0020 100.00
270 0.0003 100.00
280 0.0001 100.00
290 0.0027 100.00
300 0.0032 100.00
310 0.0016 100.00
