batch loss acc
0 0.1573 96.88
10 0.0059 100.00
20 0.0048 100.00
30 0.1666 96.88
40 0.0066 100.00
50 0.0029 100.00
60 0.0082 100.00
70 0.0043 100.00
80 0.0022 100.00
90 0.0017 100.00
100 0.0015 100.00
110 0.0032 100.00
120 0.0023 100.00
130 0.0297 96.88
140 0.0065 100.00
150 0.1074 96.88
160 0.0022 100.00
170 0.0007 100.00
180 0.0016 100.00
190 0.0696 96.88
200 0.0007 100.00
210 0.0030 100.00
220 0.0030 100.00
230 0.0013 100.00
240 0.0025 100.00
250 0.0009 100.00
260 0.0011 100.00
270 0.0058 100.00
280 0.0004 100.00
290 0.0036 100.00
300 0.0025 100.00
310 0.0023 100.00
