batch loss acc
0 1.3976 37.50
10 1.3592 25.00
20 1.4236 6.25
30 1.3676 25.00
40 1.3832 43.75
50 1.4138 18.75
60 1.2963 37.50
70 0.9366 62.50
80 1.0076 62.50
90 0.8305 56.25
100 0.9062 50.00
110 0.7312 68.75
120 0.5778 62.50
130 0.4108 87.50
140 0.0793 100.00
150 0.0357 100.00
160 0.0130 100.00
170 0.0017 100.00
180 0.0214 100.00
190 0.0019 100.00
200 0.0024 100.00
210 0.0004 100.00
220 0.0012 100.00
230 0.0007 100.00
240 0.0007 100.00
250 0.0018 100.00
260 0.0005 100.00
270 0.0005 100.00
280 0.0006 100.00
290 0.0003 100.00
300 0.0003 100.00
310 0.0004 100.00
320 0.0003 100.00
330 0.0005 100.00
340 0.0004 100.00
350 0.0002 100.00
360 0.0002 100.00
370 0.0002 100.00
380 0.0003 100.00
390 0.0006 100.00
400 0.0002 100.00
410 0.0002 100.00
420 0.0005 100.00
430 0.0002 100.00
440 0.0001 100.00
450 0.0001 100.00
460 0.0001 100.00
470 0.0004 100.00
480 0.0001 100.00
490 0.0005 100.00
500 0.0003 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0002 100.00
