batch loss acc
0 1.3946 6.25
10 1.3790 31.25
20 1.3670 37.50
30 1.3589 43.75
40 1.3759 31.25
50 1.3613 25.00
60 1.2211 62.50
70 0.6717 75.00
80 0.8444 62.50
90 0.5662 75.00
100 0.5325 81.25
110 0.0857 100.00
120 0.0257 100.00
130 0.0042 100.00
140 0.0049 100.00
150 0.0026 100.00
160 0.0012 100.00
170 0.0043 100.00
180 0.0005 100.00
190 0.0005 100.00
200 0.0007 100.00
210 0.0006 100.00
220 0.0011 100.00
230 0.0008 100.00
240 0.0003 100.00
250 0.0009 100.00
260 0.0003 100.00
270 0.0012 100.00
280 0.0009 100.00
290 0.0014 100.00
300 0.0012 100.00
310 0.0003 100.00
320 0.0008 100.00
330 0.0003 100.00
340 0.0002 100.00
350 0.0002 100.00
360 0.0007 100.00
370 0.0003 100.00
380 0.0003 100.00
390 0.0002 100.00
400 0.0004 100.00
410 0.0004 100.00
420 0.0001 100.00
430 0.0001 100.00
440 0.0002 100.00
450 0.0002 100.00
460 0.0002 100.00
470 0.0001 100.00
480 0.0001 100.00
490 0.0001 100.00
500 0.0002 100.00
510 0.0004 100.00
520 0.0001 100.00
530 0.0001 100.00
