batch loss acc
0 0.6916 59.38
10 0.6894 40.62
20 0.6731 100.00
30 0.6640 100.00
40 0.6519 100.00
50 0.6178 100.00
60 0.6118 100.00
70 0.5613 100.00
80 0.4493 100.00
90 0.2735 100.00
100 0.1882 100.00
110 0.1216 100.00
120 0.1065 100.00
130 0.0631 100.00
140 0.0490 100.00
150 0.0358 100.00
160 0.0291 100.00
170 0.0237 100.00
180 0.0243 100.00
190 0.0169 100.00
200 0.0154 100.00
210 0.0125 100.00
220 0.0111 100.00
230 0.0104 100.00
240 0.0085 100.00
250 0.0077 100.00
260 0.0072 100.00
270 0.0063 100.00
280 0.0058 100.00
290 0.0054 100.00
300 0.0048 100.00
310 0.0047 100.00
320 0.0042 100.00
330 0.0037 100.00
340 0.0036 100.00
350 0.0034 100.00
360 0.0031 100.00
370 0.0029 100.00
380 0.0028 100.00
390 0.0026 100.00
400 0.0024 100.00
410 0.0023 100.00
420 0.0022 100.00
430 0.0021 100.00
440 0.0020 100.00
450 0.0019 100.00
460 0.0019 100.00
470 0.0017 100.00
480 0.0016 100.00
490 0.0016 100.00
500 0.0015 100.00
510 0.0014 100.00
520 0.0013 100.00
530 0.0013 100.00
540 0.0012 100.00
550 0.0012 100.00
560 0.0012 100.00
570 0.0011 100.00
580 0.0011 100.00
